Tempo_fs,Temp_K,E_pot_eV,E_kin_eV,E_tot_eV
2348.000,4385251274675.87,-106569.60242,71421510218.15533,71421403648.55292
2349.000,4386368832778.49,-96059.71589,71439711612.43042,71439615552.71454
2350.000,4387337415306.43,-83060.75106,71455486678.11832,71455403617.36726
2351.000,4387101311462.05,-63628.98449,71451641312.80692,71451577683.82243
2352.000,4387171431097.26,-98951.25811,71452783334.07979,71452684382.82169
2353.000,4388552054899.58,-60779.05570,71475269214.78052,71475208435.72481
2354.000,4389531491907.06,-102899.65658,71491221064.71011,71491118165.05353
2355.000,4389092831522.97,-84319.47239,71484076710.79689,71483992391.32449
2356.000,4389237552857.25,-54330.04910,71486433751.61572,71486379421.56662
2357.000,4389567137947.42,-100676.27158,71491801623.01263,71491700946.74104
2358.000,4388627976110.40,-92246.15806,71476505724.89008,71476413478.73201
2359.000,4388181516978.52,-34699.99685,71469234354.68748,71469199654.69063
2360.000,4388962770284.10,-81799.84016,71481958435.35062,71481876635.51045
2361.000,4390590200002.11,-76715.65856,71508463983.36914,71508387267.71059
2362.000,4391720562360.44,-92167.41263,71526873917.41145,71526781749.99883
2363.000,4390226762904.09,-31067.34145,71502544772.63673,71502513705.29529
2364.000,4389528813382.19,-61009.08319,71491177440.23355,71491116431.15036
2365.000,4390325303708.27,-90368.87952,71504149682.50662,71504059313.62711
2366.000,4391103665488.91,-99690.54350,71516826669.61339,71516726979.06989
2367.000,4391511375811.39,-70429.21861,71523466947.47644,71523396518.25783
2368.000,4391721557330.27,-86558.98833,71526890122.24075,71526803563.25243
2369.000,4392577709635.56,-88321.72261,71540834064.51224,71540745742.78963
2370.000,4393102218991.19,-71530.02862,71549376619.53502,71549305089.50641
2371.000,4393336704752.19,-91278.46835,71553195631.52013,71553104353.05177
2372.000,4393798376855.03,-99379.51170,71560714771.64342,71560615392.13171
2373.000,4394059442499.14,-110729.28905,71564966683.65500,71564855954.36595
2374.000,4394463411404.67,-68894.22077,71571546025.97931,71571477131.75854
2375.000,4398096638110.33,-73870.50196,71630719496.78629,71630645626.28433
2376.000,4401153423085.04,-77106.12380,71680504602.73140,71680427496.60759
2377.000,4400729296099.92,-100248.70122,71673596950.71689,71673496702.01567
2378.000,4399030118859.91,-80836.72718,71645922868.43321,71645842031.70602
2379.000,4397308112299.83,-99803.73654,71617876970.62199,71617777166.88545
2380.000,4397615391620.83,-77716.75152,71622881553.43602,71622803836.68449
2381.000,4397975288436.33,-102633.85545,71628743104.45691,71628640470.60146
2382.000,4399817330277.56,-66236.20456,71658743987.40408,71658677751.19952
2383.000,4399556058154.70,-44223.64416,71654488712.52382,71654444488.87967
2384.000,4397139876672.74,-92957.82370,71615136958.29279,71615044000.46909
2385.000,4396569980549.63,-99879.15327,71605855200.13792,71605755320.98465
2386.000,4397173934888.41,-89942.97248,71615691656.08447,71615601713.11198
2387.000,4397717715177.66,-65340.26663,71624548072.06898,71624482731.80235
2388.000,4398257260810.34,-62764.32802,71633335519.24232,71633272754.91431
2389.000,4398976369987.36,-105522.77260,71645047473.75006,71644941950.97746
2390.000,4399561407870.84,-92373.13130,71654575842.03644,71654483468.90514
2391.000,4399724743743.70,-91270.48029,71657236053.27223,71657144782.79195
2392.000,4401525128139.60,-71111.90657,71686558471.64102,71686487359.73445
2393.000,4408233968719.45,-43198.60831,71795823710.05336,71795780511.44505
2394.000,4412470753503.83,-73791.66907,71864827183.01682,71864753391.34775
2395.000,4412393498678.21,-93262.70385,71863568952.65045,71863475689.94661
2396.000,4412525897792.60,-53086.13426,71865725304.50107,71865672218.36681
2397.000,4412722183203.32,-89207.83242,71868922156.76541,71868832948.93300
2398.000,4414080983606.56,-77802.05595,71891052605.12646,71890974803.07051
2399.000,4415927476450.19,-75923.81507,71921125980.45638,71921050056.64131
2400.000,4416794243337.52,-70162.43161,71935242799.81801,71935172637.38640
2401.000,4416235347740.37,-70555.02106,71926140204.52705,71926069649.50600
2402.000,4416680513644.97,-92419.70103,71933390512.25455,71933298092.55351
2403.000,4417361950716.29,-61971.40632,71944488910.43161,71944426939.02530
2404.000,4416759799238.01,-79502.26513,71934681817.23102,71934602314.96590
2405.000,4416999898896.64,-81556.92616,71938592261.38750,71938510704.46133
2406.000,4417500495828.96,-92361.96254,71946745360.64621,71946652998.68367
2407.000,4419475559059.32,-64330.83940,71978912730.27983,71978848399.44043
2408.000,4421002606098.64,-90877.43730,72003783370.27081,72003692492.83351
2409.000,4419947492245.65,-63124.84276,71986598990.14929,71986535865.30653
2410.000,4418938257988.59,-72285.65476,71970161839.73563,71970089554.08087
2411.000,4417227307700.55,-75132.93376,71942296012.71094,71942220879.77718
2412.000,4415087188541.01,-68281.87515,71907440417.70683,71907372135.83168
2413.000,4414077623411.35,-101083.77777,71890997878.45251,71890896794.67474
2414.000,4413747929657.27,-104169.76568,71885628237.27332,71885524067.50764
2415.000,4412105325970.48,-52864.64075,71858875554.55302,71858822689.91228
2416.000,4411099011175.29,-104820.73413,71842485952.69775,71842381131.96362
2417.000,4411238050269.30,-76572.74117,71844750448.26518,71844673875.52402
2418.000,4411278744728.20,-98011.83490,71845413228.92009,71845315217.08519
2419.000,4410848614048.94,-75060.59411,71838407796.21399,71838332735.61989
2420.000,4411349615940.68,-55472.66314,71846567490.94742,71846512018.28427
2421.000,4412567031453.27,-78543.99254,71866395238.32738,71866316694.33484
2422.000,4415159273202.79,-67067.88920,71908614442.88481,71908547374.99561
2423.000,4418710210493.66,-77573.47091,71966447686.20844,71966370112.73753
2424.000,4419562806556.44,-88819.93329,71980333708.83203,71980244888.89874
2425.000,4419574850980.83,-89101.54340,71980529873.41322,71980440771.86983
2426.000,4419816238981.53,-105043.94597,71984461300.48047,71984356256.53450
2427.000,4419975919196.68,-94556.29892,71987061972.91718,71986967416.61826
2428.000,4420506030814.76,-88352.21021,71995695770.61220,71995607418.40199
2429.000,4420056717604.56,-97525.55572,71988377916.73721,71988280391.18150
2430.000,4419183261644.27,-108524.52432,71974152154.08752,71974043629.56320
2431.000,4419857551196.03,-98359.49145,71985134142.36922,71985035782.87776
2432.000,4421355058417.55,-95589.74582,72009523674.60449,72009428084.85867
2433.000,4422406255223.50,-65155.02215,72026644258.74330,72026579103.72116
2434.000,4422203783144.61,-89805.78635,72023346645.73422,72023256839.94788
2435.000,4421759190722.42,-69514.53425,72016105678.17375,72016036163.63950
2436.000,4421944487969.19,-101520.81453,72019123568.91119,72019022048.09666
2437.000,4421960603726.05,-91195.93922,72019386042.28426,72019294846.34505
2438.000,4422092791680.62,-73755.48842,72021538955.02663,72021465199.53821
2439.000,4422837759187.09,-93086.73125,72033672057.79387,72033578971.06262
2440.000,4423613432602.29,-77751.15220,72046305260.15324,72046227509.00104
2441.000,4424120394018.32,-71267.87430,72054562016.19463,72054490748.32033
2442.000,4424216060017.18,-82272.62813,72056120104.81642,72056037832.18829
2443.000,4423945093600.29,-88413.08208,72051706941.35081,72051618528.26874
2444.000,4430580553559.30,-71733.37467,72159777047.61848,72159705314.24380
2445.000,4438170001564.62,-92766.75519,72283384522.83714,72283291756.08195
2446.000,4437877279405.27,-79702.08116,72278617028.93878,72278537326.85762
2447.000,4437658303538.42,-83996.07024,72275050622.78958,72274966626.71935
2448.000,4440192599111.75,-55032.15511,72316326072.21065,72316271040.05554
2449.000,4441716022676.59,-71923.13446,72341137697.56296,72341065774.42850
2450.000,4440798000878.29,-70159.62005,72326186102.05763,72326115942.43758
2451.000,4442748342999.70,-67498.06449,72357950845.06276,72357883346.99828
2452.000,4446672185335.68,-100150.70845,72421857501.24744,72421757350.53899
2453.000,4446213957269.07,-103944.29672,72414394453.29605,72414290508.99933
2454.000,4447278130636.00,-69230.72366,72431726383.49550,72431657152.77184
2455.000,4449083338669.39,-108224.98344,72461127363.26324,72461019138.27980
2456.000,4447658432187.70,-80951.43358,72437920261.44214,72437839310.00856
2457.000,4446173171080.70,-87140.80731,72413730178.66576,72413643037.85844
2458.000,4446429080915.50,-87518.20136,72417898119.27766,72417810601.07631
